,表決ID,會議ID,該會議第幾個表決,表決內容,票數,結果
10,08-05-YS-11-010,08-05-YS-11,010,柒、民進黨黨團提議將委員陳節如等47人擬具「核子反應器設施管制法增訂第六條之一條文草案」案，自委員會抽出，逕付二讀，列為討論事項第3案，並由民進黨黨團負責召集協商。經表決結果不予通過。【在場委員68人，贊成者8人，反對者60人，少數不通過；並採記名表決方式，表決結果名單附後,"{""abstain"": 0, ""not_voting"": 44, ""total"": 112, ""disagree"": 60, ""agree"": 8}",Not Passed
11,08-05-YS-11-009,08-05-YS-11,009,陸、民進黨黨團提議將民進黨黨團擬具「非核家園推動法草案」案，自委員會抽出，逕付二讀，列為討論事項第3案，並由民進黨黨團負責召集協商。經表決結果不予通過。【在場委員69人，贊成者9人，反對者60人，少數不通過；並採記名表決方式，表決結果名單附後,"{""abstain"": 0, ""not_voting"": 43, ""total"": 112, ""disagree"": 60, ""agree"": 9}",Not Passed
12,08-05-YS-11-008,08-05-YS-11,008,"肆、103年5月27日朝野黨團協商結論，經決定如下：
一、5月30日（星期五）第12次會議下午3時起處理「中央政府流域綜合治理計畫第1期特別預算案」，該案完成三讀程序後，接續進行不須協商及完成協商之議案，至遲至下午12時止散會。
伍、委員王廷升等25人擬具「花東快速道路建設特別條例草案」自交通委員會抽出，逕付二讀，並由國民黨黨團負責召集協商。【經在場委員69人，贊成者59人，反對者10人，多數通過；並採記名表決方式，表決結果名單附後","{""abstain"": 0, ""not_voting"": 43, ""total"": 112, ""disagree"": 10, ""agree"": 59}",Passed
13,08-05-YS-11-007,08-05-YS-11,007,"本院委員盧嘉辰等26人，為本院委員陳歐珀於馬總統母親秦厚修女士治喪期間赴靈堂鬧場，對喪家不敬，嚴重失禮在前，又虛與狡辯在後，行為脫序為社會所不容乙事，建請將陳委員歐珀交付本院紀律委員會懲戒，是否有當？請公決案。
經表決結果予以通過。在場委員97人，贊成者61人，反對者36人，多數通過；並採記名表決方式，表決結果名單附後","{""abstain"": 0, ""not_voting"": 15, ""total"": 112, ""disagree"": 36, ""agree"": 61}",Passed
14,08-05-YS-11-006,08-05-YS-11,006,"(四)台灣團結聯盟黨團提議增列討論事項第3案為：
本院台灣團結聯盟黨團有鑒於委員周倪安於3月24日凌晨，為保護闖進行政院院區之「反服貿」學生，被警方強力鎮壓，竟遭鎮暴警察暴力圍毆，至造成頭部、臉部、腹部等，嚴重受到傷害。然至今內政部警政署仍未能查明懲凶，亦無當天下令動粗之長官負責，嚴重藐視國會，已造成行政、立法兩權關係之緊張與對立。按民主政治原理及憲法第57條所定，行政院對立法院負責之精神，立法委員代表人民行使立法權，係為監督行政權而存在。今若立法委員本身，任令行政權所轄之鎮暴警察攻擊圍毆，自身安全都無法保護，期待立法委員代表人民行使立法權，並監督行政院，豈不緣木求魚。此一警察對立法委員施暴事件，突顯一個傲慢專擅，且不受國會制約的行政權，眼中已無民意之存在，而將立法院視為「行政院立法局」，嚴重藐視國會之情況，實屬國家憲政危機，本院不應等閒視之。本黨團爰要求本院做出以下決定：「1、針對行政權所轄之鎮暴警察攻擊圍毆立法委員周倪安一案，本院基於維護國會尊嚴及行政、立法兩權憲政分際，對於行政院提出嚴重譴責。並限行政院於本會期內查明施暴員警，追究刑事及行政責任。2、針對此一行政權嚴重藐視國會，破壞憲政體制之政府暴力事件，行政院江宜樺院長，應向立法院及全體國人道歉。3、針對此一行政權嚴重藐視國會，造成行政、立法兩權關係之緊張與對立之政府暴力事件，發號施暴命令之行政院江宜樺院長、警政主管長官內政部長陳威仁及警政署長王卓鈞等，均應負起政治責任，立即下台。」，請公決案。經表決結果不予通過。在場委員97人，贊成者37人，反對者60人，少數不通過；並採記名表決方式，表決結果名單附後","{""abstain"": 0, ""not_voting"": 15, ""total"": 112, ""disagree"": 60, ""agree"": 37}",Not Passed
15,08-05-YS-11-005,08-05-YS-11,005,"(三)台灣團結聯盟黨團提議增列討論事項第2案為：
本院台灣團結聯盟黨團，有鑑於經濟部、原子能委員會及台灣電力公司以安全檢測名義，實質進行核四興建工程，預計103年6月底經濟部將要求台灣電力公司向原子能委員會申請裝填燃料棒，展開為期1年的運轉測試，形同正式啟動反應爐，往商業運轉的方向前進，此舉將讓國人生命安全置於核災的陰影中。據行政院原能會核四安全監督委員會會議結論指出，台電將於103年9月提送燃料裝填申請書，而經濟部核四辦公室認為核四廠完成雜項工程後即可放置燃料棒，不需由公投決定；前述作為已明顯違反本院102年2月26日朝野協商：「核四案公民投票有結果前，不辦理追加預算，不放置燃料棒，另有關101年度預算及102年度預算之執行，除已發包及安全檢測工作外，暫停施工。」結論，台電應立即停止違反國會決議行為。近幾年來，民間「廢核」聲浪高漲，人民已意識到，台灣並不缺電，核四不是要不要電的問題，而是要不要命的問題，民調顯示，大多數的台灣民眾都希望停建核四。政府應順應民意，顧及人民生命安危及國土環境，停建核四，以解決核四爭議。爰此，本黨團建請院會做成以下決議：「行政院應立即停建核四，2014終結核四，以符合民意。」，請公決案。經表決結果不予通過。在場委員93人，贊成者38人，反對者55人，少數不通過；並採記名表決方式，表決結果名單附後","{""abstain"": 0, ""not_voting"": 19, ""total"": 112, ""disagree"": 55, ""agree"": 38}",Not Passed
16,08-05-YS-11-004,08-05-YS-11,004,"(二)台灣團結聯盟黨團提議增列討論事項第1案為：
本院台灣團結聯盟黨團黨團，有鑑於行政院長江宜樺4月28日表示，「核四二號機停工，並不是核四停建，核四完工之後，經過公投才會運轉，核四目前只有延續性的工程和安檢的工作繼續進行，行政院沒有追加預算。核四政策沒有重大改變，不會廢棄核四，而是替下一代保留一個選擇空間。如果現在馬上廢除核能，對台灣衝擊太大。」顯係行政院並未決定停建核四，原子能委員會及台灣電力公司將繼續以安全檢測名義，實質進行核四興建工程，只是承諾核四完工之後，經過公投才會運轉。此與本院102年2月26日朝野協商：「核四案公民投票有結果前，不辦理追加預算，不放置燃料棒，另有關101年度預算及102年度預算之執行，除已發包及安全檢測工作外，暫停施工。」之結論，除文字用法不同外，實無任何差異。近幾年來，民間「廢核」聲浪高漲，人民已意識到，台灣並不缺電，核四不是要不要電的問題，而是要不要命的問題，民調顯示，大多數的台灣民眾都希望停建核四。政府應順應民意，顧及人民生命安危及國土環境，停建核四，以解決核四爭議。爰此，本黨團建請院會做成以下決議：「本院於審查103年度中央政府總預算案經濟部主管台灣電力股份有限公司附屬單位預算時，應將核能四廠第一、二號機發電工程計畫，計81億2,327萬9,000元，全數刪除，使行政院立即停建核四，以符合民意。」，請公決案。經表決結果不予通過。在場委員94人，贊成者42人，反對者52人，少數不通過；並採記名表決方式，表決結果名單附後","{""abstain"": 0, ""not_voting"": 18, ""total"": 112, ""disagree"": 52, ""agree"": 42}",Not Passed
17,08-05-YS-11-003,08-05-YS-11,003,"(一)民進黨黨團提議增列討論事項第1案為：
鑒於台電公司興建核能四廠計畫自1995年起擅將統包規劃改成分包，層層轉包、分包，興建過程爆發官商勾結、圖利等不法情事，阻絕輻射外洩圍阻體也出現嚴重缺失，工程品質難以確保；興建期間台電公司違法擅自變更工程設計高達1,536項，原能會更直指變更設計主要集中在核電廠心臟「核島區」；核四廠迄今發生多起重大事故，諸如廠房淹水、電廠全黑、燒損、失火、光纖電纜鋪設錯誤、管線遭老鼠囓咬等，拼裝興建的核四廠安全性嚴重不足。行政院院長江宜樺在會見北北基縣市長時坦言「政府對核廢無完全處置方案」，面對民間團體要求提出核廢最終處置辦法也束手無策；迄今需監測至少300年的低階核廢仍暫時存放在蘭嶼，而衰退期長達2萬4千年高放射性的核廢置放在核電廠內世界最擁擠的燃料池中，最終處置方式仍然無解，這些核廢將成為我們這一代留給後代子孫永遠的負擔。國際科學理事會整理過去50年發生8.5以上規模大地震的分布圖，發現平均五年太平洋沿岸就有大規模地震，而台灣就位在這火線區內，九二一大地震一夕之間家園毀壞，記憶猶新。根據聯合國資料顯示1986年車諾比核災，被汙染的土地面積超過16萬平方公里，是台灣的5倍大；2011年日本東北地震造成福島核電廠爐心熔毀輻射嚴重外洩，迄今周遭40公里內無法居住，高達30萬福島居民無家可歸；台灣地震颱風頻繁，核四廠位處地層破碎帶，鄰近更有多條斷層及海底火山群，名列世界危險核電廠之一，地狹人稠的台灣禁不起核能災變的風險。核四廠興建計畫預算由原總額1,697億3,103萬3千元，經4次修正投資總額已暴增至2,838億7,913萬6千元，追加1,141億餘元，未來還要花多少預算仍是未知數，但興建過程弊端叢生，民眾對核四廠的工程品質與現今政府的安全保證根本無法信賴。面對高達7成民調支持停建，核四續建不僅徒增國家財政負擔，核四廠高風險後果恐將禍延子孫。爰依憲法第63條規定提請本院做成如下決議：「政府應立即停止繼續興建核四廠，並依環境基本法規定推動台灣成為非核家園。」，請公決案。經表決結果不予通過。在場委員94人，贊成者41人，反對者53人，少數不通過；並採記名表決方式，表決結果名單附後","{""abstain"": 0, ""not_voting"": 18, ""total"": 112, ""disagree"": 53, ""agree"": 41}",Not Passed
18,08-05-YS-11-002,08-05-YS-11,002,"(二)台灣團結聯盟黨團提議增列報告事項共12案（詳如附表），順序授權議事處排列，經表決結果不予通過。
附表
序
法案名稱
1
台聯黨團擬具「核四逃命圈公民投票特別條例草案」
2
台聯黨團擬具「立法院職權行使法部分條文修正草案」
3
台聯黨團擬具「立法院職權行使法第三十七條、第四十三條及第四十四條之一條文修正草案」
4
台聯黨團擬具「立法院組織法第三條條文修正草案」
5
台聯黨團擬具「立法院組織法增訂第六條之一條文修正草案」
6
台聯黨團擬具「立法院組織法第九條條文修正草案」
7
台聯黨團擬提「台灣地區與大陸地區人民關係條例第五條條文修正草案」
8
台聯黨團擬具「台灣地區與大陸地區人民關係條例第二十六條條文修正草案」
9
台聯黨團擬具「台灣地區與大陸地區人民關係條例第七十三條之一條文修正草案」
10
台聯黨團擬具「公職人員選舉罷免法部分條文修正草案」
11
台聯黨團擬具「戰士授田憑據處理條例」廢止案
12
台聯黨團擬具「總統職務交接條例草案」
在場委員94人，贊成者37人，反對者57人，少數不通過；並採記名表決方式，表決結果名單附後","{""abstain"": 0, ""not_voting"": 18, ""total"": 112, ""disagree"": 57, ""agree"": 37}",Not Passed
19,08-05-YS-11-001,08-05-YS-11,001,"(一)民進黨黨團提議增列報告事項共61案（詳如附表），經表決結果不予通過。
附表
序
法案名稱
提案人
審查會
1
政黨及其附隨組織取得財產清查及處理條例草案
民進黨
內政
司法
2
電業法修正草案
民進黨
經濟
3
環境基本法第二十三條條文修正草案
田秋堇
衛環
4
台灣地區與大陸地區人民關係條例第五條、第九十三條之一及第九十五條條文修正草案
李俊俋
內政
5
中華民國總統府組織法第十六條條文修正草案
李俊俋
司法
6
審計法第三十四條條文修正草案
李俊俋
財政
7
立法委員行為法部分條文修正草案
李俊俋
司法
8
立法院各委員會組織法第九條條文修正草案
李俊俋
司法
9
立法院議事規則刪除第六十一條條文草案
李俊俋
司法
10
中華民國憲法增修條文第四條、第四條之一及第七條條文修正草案
李俊俋
修憲
11
立法院職權行使法增訂部分條文草案
李俊俋
司法
12
台灣地區與大陸地區人民關係條例第五條及第五條之三條文修正草案
段宜康
內政
13
國家安全會議組織法修正草案
段宜康
司法
14
台灣地區與大陸地區人民關係條例第四條之二條、第五條及第九十五條條文修正草案
尤美女
內政
15
立法院組織法第三條及第十三條條文修正草案
尤美女
司法
16
公職人員選舉罷免法第七十三條及第九十條條文修正草案
尤美女
內政
17
政治檔案法草案
尤美女
司法
18
立法院職權行使法部分條文修正草案
尤美女
司法
19
赦免法增訂第六條之一、第六條之二及第六條之三條文草案
尤美女
司法
20
立法院職權行使法增訂第十三條之一、第十三條之二及第十三條之三條文草案
尤美女
司法
21
廢止核能發電條例草案
尤美女
教育
經濟
22
公職人員選舉罷免法第七十三條條文修正草案
許添財
內政
23
立法院程序委員會組織規程第五條條文修正草案
李應元
司法
法制
24
條約締結法草案
李應元
外交
25
公職人員選舉罷免法第八十三條、第八十六條及第一百十條條文修正草案
李昆澤
內政
26
難民法草案
蕭美琴
內政
外交
27
立法院各委員會組織法第八條條文修正草案
鄭麗君
司法
28
國家安全法第九條條文修正草案
鄭麗君
內政
29
台灣電力公司龍門核電廠停建特別條例草案
鄭麗君
經濟
教育
30
國家安全法第九條條文修正草案
姚文智
內政
31
高級中等教育法第五十六條條文修正草案
邱志偉
教育
32
立法院組織法刪除第七條條文草案
邱議瑩
司法
33
廢止立法院程序委員會組織規程
邱議瑩
司法
34
立法院職權行使法部分條文修正草案
邱議瑩
司法
35
立法院議事規則部分條文修正草案
邱議瑩
司法
36
中資來台投資管理條例草案
陳明文
經濟
37
立法院議事規則第六十一條條文修正草案
陳明文
司法
38
立法院議事規則第六十一條條文修正草案
陳其邁
司法
39
立法院組織法第十六條條文修正草案
陳其邁
司法
40
立法院職權行使法第七十條條文修正草案
陳其邁
司法
41
中華民國憲法增修條文部分條文修正草案
陳其邁
修憲
42
總統副總統選舉罷免法部分條文修正草案
陳其邁
內政
43
立法院組織法第三條及第十三條條文修正草案
陳其邁
司法
44
公職人員選舉罷免法第七十三條條文修正草案
陳其邁
內政
45
土地徵收條例修正草案
陳其邁
內政
46
警察服制條例第四條、第五條及第六條條文修正草案
陳亭妃
內政
47
警察職權行使法第四條、第二十七條及第二十八條條文修正草案
陳亭妃
內政
48
警察法第十八條條文修正草案
陳亭妃
內政
49
警械使用條例第一條條文修正草案
陳亭妃
內政
50
立法院組織法第三條條文修正草案
林佳龍
司法
51
公職人員選舉罷免法第七十三條條文修正草案
林佳龍
內政
52
立法院職權行使法第六十條條文修正草案
薛
凌
司法
53
政府資訊公開法第十八條條文修正草案
林佳龍
司法
54
兵役法第三十五條條文修正草案
林佳龍
外交
55
個人資料保護法第十六條及第四十一條之一條文修正草案
林佳龍
司法
56
所得稅法第四條條文修正草案
林佳龍
財政
57
公職人員選舉罷免法第二十四條條文修正草案
趙天麟
內政
58
警察職權行使法第四條及第七條條文修正草案
陳其邁
內政
59
立法院職權行使法第七十條條文修正草案
陳其邁
司法
60
立法院職權行使法增訂第四十九條之一條文草案
陳其邁
司法
61
藥害救濟法第二條及第四條條文修正草案
陳其邁
衛環
在場委員94人，贊成者37人，反對者57人，少數不通過；並採記名表決方式，表決結果名單附後","{""abstain"": 0, ""not_voting"": 18, ""total"": 112, ""disagree"": 57, ""agree"": 37}",Not Passed
20,08-05-YS-09-010,08-05-YS-09,010,"(七)台灣團結聯盟黨團提議增列討論事項第3案為：
本院台灣團結聯盟黨團，有鑒於委員周倪安於3月24日凌晨，為保護闖進行政院院區之「反服貿」學生，被警方強力鎮壓，竟遭鎮暴警察暴力圍毆，至造成頭部、臉部、腹部等，嚴重受到傷害。然至今內政部警政署仍未能查明懲凶，亦無當天下令動粗之長官負責，嚴重藐視國會，已造成行政、立法兩權關係之緊張與對立。按民主政治原理及憲法第57條所定，行政院對立法院負責之精神，立法委員代表人民行使立法權，係為監督行政權而存在。今若立法委員本身，任令行政權所轄之鎮暴警察攻擊圍毆，自身安全都無法保護，期待立法委員代表人民行使立法權，並監督行政院，豈不緣木求魚。此一警察對立法委員施暴事件，突顯一個傲慢專擅，且不受國會制約的行政權，眼中已無民意之存在，而將立法院視為「行政院立法局」，嚴重藐視國會之情況，實屬國家憲政危機，本院不應等閒視之。本黨團爰要求本院做出以下決定：「1、針對行政權所轄之鎮暴警察攻擊圍毆立法委員周倪安一案，本院基於維護國會尊嚴及行政、立法兩權憲政分際，對於行政院提出嚴重譴責。並限行政院於本會期內查明施暴員警，追究刑事及行政責任。2、針對此一行政權嚴重藐視國會，破壞憲政體制之政府暴力事件，行政院江宜樺院長，應向立法院及全體國人道歉。3、針對此一行政權嚴重藐視國會，造成行政、立法兩權關係之緊張與對立之政府暴力事件，發號施暴命令之行政院江宜樺院長、警政主管長官內政部長陳威仁及警政署長王卓鈞等，均應負起政治責任，立即下台。」請公決案。經表決結果不予通過。在場委員98人，贊成者40人，反對者58人，少數不通過；並採記名表決方式，表決結果名單附後","{""abstain"": 0, ""not_voting"": 14, ""total"": 112, ""disagree"": 58, ""agree"": 40}",Not Passed
21,08-05-YS-09-009,08-05-YS-09,009,"(六)台灣團結聯盟黨團提議增列討論事項第2案為：
本院台灣團結聯盟黨團，有鑑於經濟部、原子能委員會及台灣電力公司以安全檢測名義，實質進行核四興建工程，預計103年6月底經濟部將要求台灣電力公司向原子能委員會申請裝填燃料棒，展開為期1年的運轉測試，形同正式啟動反應爐，往商業運轉的方向前進，此舉將讓國人生命安全置於核災的陰影中。據行政院原能會核四安全監督委員會會議結論指出，台電將於103年9月提送燃料裝填申請書，而經濟部核四辦公室認為核四廠完成雜項工程後即可放置燃料棒，不需由公投決定；前述作為已明顯違反本院102年2月26日朝野協商：「核四案公民投票有結果前，不辦理追加預算，不放置燃料棒，另有關101年度預算及102年度預算之執行，除已發包及安全檢測工作外，暫停施工。」結論，台電應立停止違反國會決議行為。近幾年來，民間「廢核」聲浪高漲，人民已意識到，台灣並不缺電，核四不是要不要電的問題，而是要不要命的問題，民調顯示，大多數的台灣民眾都希望停建核四。政府應順應民意，顧及人民生命安危及國土環境，停建核四，以解決核四爭議。爰此，本黨團建請院會做成以下決議：「行政院應立即停建核四，2014終結核四，以符合民意。」請公決案。經表決結果不予通過。在場委員98人，贊成者42人，反對者56人，少數不通過；並採記名表決方式，表決結果名單附後","{""abstain"": 0, ""not_voting"": 14, ""total"": 112, ""disagree"": 56, ""agree"": 42}",Not Passed
22,08-05-YS-09-008,08-05-YS-09,008,"(五)台灣團結聯盟黨團提議增列討論事項第1案為：
本院台灣團結聯盟黨團，有鑑於行政院長江宜樺4月28日表示，「核四二號機停工，並不是核四停建，核四完工之後，經過公投才會運轉，核四目前只有延續性的工程和安檢的工作繼續進行，行政院沒有追加預算。核四政策沒有重大改變，不會廢棄核四，而是替下一代保留一個選擇空間。如果現在馬上廢除核能，對台灣衝擊太大。」顯係行政院並未決定停建核四，原子能委員會及台灣電力公司將繼續以安全檢測名義，實質進行核四興建工程，只是承諾核四完工之後，經過公投才會運轉。此與本院102年2月26日朝野協商：「核四案公民投票有結果前，不辦理追加預算，不放置燃料棒，另有關101年度預算及102年度預算之執行，除已發包及安全檢測工作外，暫停施工。」之結論，除文字用法不同外，實無任何差異。近幾年來，民間「廢核」聲浪高漲，人民已意識到，台灣並不缺電，核四不是要不要電的問題，而是要不要命的問題，民調顯示，大多數的台灣民眾都希望停建核四。政府應順應民意，顧及人民生命安危及國土環境，停建核四，以解決核四爭議。爰此，本黨團建請院會做成以下決議：「本院於審查103年度中央政府總預算案經濟部主管台灣電力股份有限公司附屬單位預算時，應將核能四廠第一、二號機發電工程計畫，計81億2,327萬9,000元，除已發包之安檢費以外，全數刪除，使行政院立即停建核四，以符合民意。」，請公決案。經表決結果不予通過。在場委員98人，贊成者45人，反對者53人，少數不通過；並採記名表決方式，表決結果名單附後","{""abstain"": 0, ""not_voting"": 14, ""total"": 112, ""disagree"": 53, ""agree"": 45}",Not Passed
23,08-05-YS-09-007,08-05-YS-09,007,"(四)民進黨黨團提議增列討論事項第1案為：
國民黨黨團針對第8屆第1會期第13次會議報告事項第30案委員林淑芬等擬具之「廢止集會遊行法」院會所作之決定，提請復議，請公決案。經表決結果不予通過。在場委員98人，贊成者40人，反對者58人，少數不通過；並採記名表決方式，表決結果名單附後","{""abstain"": 0, ""not_voting"": 14, ""total"": 112, ""disagree"": 58, ""agree"": 40}",Not Passed
24,08-05-YS-09-006,08-05-YS-09,006,"(三)民進黨黨團提議增列討論事項第1案為：
委員呂學樟、江惠貞等擬具之「政治獻金法第十五條條文修正草案」、委員趙天麟、林岱樺等擬具之「政治獻金法第十八條條文修正草案」、委員高志鵬等擬具之「政治獻金法增訂第十八條之一條文草案」、委員呂學樟等擬具之「政治獻金法第二十九條條文修正草案」及行政院函送之「政治獻金法第十二條條文修正草案」，並請併案協商。經表決結果不予通過。在場委員98人，贊成者40人，反對者58人，少數不通過；並採記名表決方式，表決結果名單附後","{""abstain"": 0, ""not_voting"": 14, ""total"": 112, ""disagree"": 58, ""agree"": 40}",Not Passed
25,08-05-YS-09-005,08-05-YS-09,005,"(二)民進黨黨團提議增列討論事項第1案為：
鑒於台電公司興建核能四廠計畫自1995年起擅將統包規劃改成分包，層層轉包、分包，興建過程爆發官商勾結、圖利等不法情事，阻絕輻射外洩圍阻體也出現嚴重缺失，工程品質難以確保；興建期間台電公司違法擅自變更工程設計高達1,536項，原能會更直指變更設計主要集中在核電廠心臟「核島區」；核四廠迄今發生多起重大事故，諸如廠房淹水、電廠全黑、燒損、失火、光纖電纜鋪設錯誤、管線遭老鼠囓咬等，拼裝興建的核四廠安全性嚴重不足。行政院院長江宜樺在會見北北基縣市長時坦言「政府對核廢無完全處置方案」，面對民間團體要求提出核廢最終處置辦法也束手無策；迄今需監測至少300年的低階核廢仍暫時存放在蘭嶼，而衰退期長達2萬4千年高放射性的核廢置放在核電廠內世界最擁擠的燃料池中，最終處置方式仍然無解，這些核廢將成為我們這一代留給後代子孫永遠的負擔。國際科學理事會整理過去50年發生8.5以上規模大地震的分布圖，發現平均5年太平洋沿岸就有大規模地震，而台灣就位在這火線區內，九二一大地震一夕之間家園毀壞，記憶猶新。根據聯合國資料顯示1986年車諾比核災，被汙染的土地面積超過16萬平方公里，是台灣的5倍大；2011年日本東北地震造成福島核電廠爐心熔毀輻射嚴重外洩，迄今周遭40公里內無法居住，高達30萬福島居民無家可歸；台灣地震颱風頻繁，核四廠位處地層破碎帶，鄰近更有多條斷層及海底火山群，名列世界危險核電廠之一，地狹人稠的台灣禁不起核能災變的風險。核四廠興建計畫預算由原總額1,697億3,103萬3千元，經4次修正投資總額已暴增至2,838億7,913萬6千元，追加1,141億餘元，未來還要花多少預算仍是未知數，但興建過程弊端叢生，民眾對核四廠的工程品質與現今政府的安全保證根本無法信賴。面對高達七成民調支持停建，核四續建不僅徒增國家財政負擔，核四廠高風險後果恐將禍延子孫。爰依憲法第63條規定提請本院做成如下決議：「政府應立即停止繼續興建核四廠，並依環境基本法規定推動台灣成為非核家園。」請公決案。經表決結果不予通過。在場委員98人，贊成者41人，反對者56人，棄權者1人，少數不通過；並採記名表決方式，表決結果名單附後","{""abstain"": 1, ""not_voting"": 14, ""total"": 112, ""disagree"": 56, ""agree"": 41}",Not Passed
